column_name,data_type
instance_id,uuid
id,integer
code,text
id,uuid
name,text
aud,character varying
role,character varying
mobile,text
email,text
email,character varying
role,text
encrypted_password,character varying
address,text
email_confirmed_at,timestamp with time zone
password,text
invited_at,timestamp with time zone
confirmation_token,character varying
avatar_url,text
aadhaar,text
confirmation_sent_at,timestamp with time zone
recovery_token,character varying
chat_enabled,boolean
recovery_sent_at,timestamp with time zone
kyc_completed,boolean
is_online,boolean
email_change_token_new,character varying
email_change,character varying
last_seen,timestamp with time zone
plan,text
email_change_sent_at,timestamp with time zone
trial_started_at,timestamp with time zone
last_sign_in_at,timestamp with time zone
raw_app_meta_data,jsonb
plan_expires_at,timestamp with time zone
raw_user_meta_data,jsonb
slips_used,integer
activation_status,text
is_super_admin,boolean
created_at,timestamp with time zone
payment_screenshot,text
updated_at,timestamp with time zone
latitude,double precision
longitude,double precision
phone,text
phone_confirmed_at,timestamp with time zone
location_updated_at,timestamp with time zone
wa_token,text
phone_change,text
wa_token_mode,text
phone_change_token,character varying
phone_change_sent_at,timestamp with time zone
wa_token_expiry,timestamp with time zone
confirmed_at,timestamp with time zone
upi_id,text
created_at,timestamp with time zone
email_change_token_current,character varying
deleted_at,timestamp with time zone
email_change_confirm_status,smallint
deleted_by,integer
banned_until,timestamp with time zone
reauthentication_token,character varying
plain_password,text
reauthentication_sent_at,timestamp with time zone
last_seen_at,timestamp without time zone
login_pin,text
is_sso_user,boolean
session_token,text
deleted_at,timestamp with time zone
is_anonymous,boolean
last_login_at,timestamp without time zone
last_login_ip,text
